[2026-04-24_11:37:03] Epoch:63/80, lr:0.0010000000000000002, train_loss:0.0028496227308793306, top1:0.9822644805908203, top5:0.9988124084472656
[2026-04-24_11:37:11] Epoch:64/80, lr:0.0010000000000000002, train_loss:0.002894210533916273, top1:0.981631088256836, top5:0.9988124084472656
[2026-04-24_11:37:19] Epoch:65/80, lr:0.0010000000000000002, train_loss:0.0028529871949115647, top1:0.9823436737060547, top5:0.9988124084472656
[2026-04-24_11:37:27] Epoch:66/80, lr:0.0010000000000000002, train_loss:0.0029130805428926048, top1:0.9813935089111329, top5:0.9988915252685547
[2026-04-24_11:37:34] Epoch:67/80, lr:0.0010000000000000002, train_loss:0.0029045485198957387, top1:0.981710205078125, top5:0.9988124084472656
[2026-04-24_11:37:42] Epoch:68/80, lr:0.0010000000000000002, train_loss:0.002852283912565704, top1:0.9817893981933594, top5:0.9988124084472656
[2026-04-24_11:37:50] Epoch:69/80, lr:0.0010000000000000002, train_loss:0.002897560244196324, top1:0.981710205078125, top5:0.9988124084472656
[2026-04-24_11:37:57] Epoch:70/80, lr:0.0010000000000000002, train_loss:0.002876186283764901, top1:0.981710205078125, top5:0.9988124084472656
[2026-04-24_11:38:05] Epoch:71/80, lr:0.0010000000000000002, train_loss:0.0029859723691078653, top1:0.981710205078125, top5:0.9988124084472656
[2026-04-24_11:38:13] Epoch:72/80, lr:0.0010000000000000002, train_loss:0.0029239035906971664, top1:0.9822644805908203, top5:0.9990499114990234
[2026-04-24_11:38:21] Epoch:73/80, lr:0.0010000000000000002, train_loss:0.0029346254947534823, top1:0.9813143920898437, top5:0.9988124084472656
[2026-04-24_11:38:28] Epoch:74/80, lr:0.0010000000000000002, train_loss:0.002920496752243731, top1:0.9820269775390625, top5:0.9987332153320313
[2026-04-24_11:38:36] Epoch:75/80, lr:0.0010000000000000002, train_loss:0.0029398737726249284, top1:0.9818685913085937, top5:0.9988915252685547
[2026-04-24_11:38:44] Epoch:76/80, lr:0.0010000000000000002, train_loss:0.0029217636427394562, top1:0.9815518951416016, top5:0.9987332153320313
[2026-04-24_11:38:51] Epoch:77/80, lr:0.0010000000000000002, train_loss:0.0029606998024218076, top1:0.9824227905273437, top5:0.9987332153320313
